Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Marc,Serré,Nickel Belt,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Martin,Shields,Bow River,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Maninder,Sidhu,Brampton East,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Sonia,Sidhu,Brampton South,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Mario,Simard,Jonquière,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Nathalie,Sinclair-Desgagné,Terrebonne,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Jagmeet,Singh,Burnaby South,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Clifford,Small,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Conservative,2021-09-20 12:00:00 AM,
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Gerald,Soroka,Yellowhead,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Charles,Sousa,Mississauga—Lakeshore,Ontario,Liberal,2022-12-12 12:00:00 AM,
,Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Jake,Stewart,Miramichi—Grand Lake,New Brunswick,Conservative,2021-09-20 12:00:00 AM,
Hon.,Pascale,St-Onge,Brome—Missisquoi,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Shannon,Stubbs,Lakeland,Alberta,Conservative,2021-09-20 12:00:00 AM,
Hon.,Jenna,Sudds,Kanata—Carleton,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Leah,Taylor Roy,Aurora—Oak Ridges—Richmond Hill,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Alain,Therrien,La Prairie,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Rachael,Thomas,Lethbridge,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Joanne,Thompson,St. John's East,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
,Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Fraser,Tolmie,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
Right Hon.,Justin,Trudeau,Papineau,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Denis,Trudel,Longueuil—Saint-Hubert,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Ryan,Turnbull,Whitby,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Tim,Uppal,Edmonton Mill Woods,Alberta,Conservative,2021-09-20 12:00:00 AM,
Hon.,Rechie,Valdez,Mississauga—Streetsville,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Tony,Van Bynen,Newmarket—Aurora,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Adam,van Koeverden,Milton,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Tako,Van Popta,Langley—Aldergrove,British Columbia,Conservative,2021-09-20 12:00:00 AM,
Hon.,Dan,Vandal,Saint Boniface—Saint Vital,Manitoba,Liberal,2021-09-20 12:00:00 AM,
,Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Karen,Vecchio,Elgin—Middlesex—London,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Gary,Vidal,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Dominique,Vien,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Arnold,Viersen,Peace River—Westlock,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Julie,Vignola,Beauport—Limoilou,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,René,Villemure,Trois-Rivières,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Arif,Virani,Parkdale—High Park,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Brad,Vis,Mission—Matsqui—Fraser Canyon,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Kevin,Vuong,Spadina—Fort York,Ontario,Independent,2021-09-20 12:00:00 AM,
,Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Chris,Warkentin,Grande Prairie—Mackenzie,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Kevin,Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Len,Webber,Calgary Confederation,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Patrick,Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,2021-09-20 12:00:00 AM,
Hon.,Jonathan,Wilkinson,North Vancouver,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Ryan,Williams,Bay of Quinte,Ontario,Conservative,2021-09-20 12:00:00 AM,
,John,Williamson,New Brunswick Southwest,New Brunswick,Conservative,2021-09-20 12:00:00 AM,
,Jean,Yip,Scarborough—Agincourt,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Salma,Zahid,Scarborough Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Bonita,Zarrillo,Port Moody—Coquitlam,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Sameer,Zuberi,Pierrefonds—Dollard,Quebec,Liberal,2021-09-20 12:00:00 AM,
